"filename", "language", "XML", "TypeScript React", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "Ignore", "YAML", "Markdown", "Docker", "Python", "GraphQL", "pip requirements", "Properties", "SQL", "comment", "blank", "total"
"/Users/danielspaude/code/boxtribute/boxtribute/back/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -8, -6, -28
"/Users/danielspaude/code/boxtribute/boxtribute/back/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -221, 0, 0, 0, 0, 0, 0, 0, -143, -364
"/Users/danielspaude/code/boxtribute/boxtribute/back/app-api.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16
"/Users/danielspaude/code/boxtribute/boxtribute/back/app.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -2, -4
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -4, -8, -23
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, 0, 0, 0, 0, -34, -34, -239
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/authz.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, 0, -11, -7, -56
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/box_transfer/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/box_transfer/agreement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -128, 0, 0, 0, 0, -35, -20, -183
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/box_transfer/shipment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -264, 0, 0, 0, 0, -60, -46, -370
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -4, -4, -15
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/enums.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, 0, 0, 0, 0, -4, -18, -67
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, -13, -25, -126
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/definitions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -2, -5, -15
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/enums.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -3, -22
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/filtering.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, 0, 0, -9, -17, -82
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/inputs.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -8, -9, -91
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/mutations.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -5, -3, -23
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/pagination.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, 0, -80, -31, -213
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/queries.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, -6, -1, -40
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/resolvers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -522, 0, 0, 0, 0, -70, -185, -777
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/scalars.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -9, -23
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/schema.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, -4, -32
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/graph_ql/types.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -364, 0, 0, 0, -142, -74, -580
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -1, -3, -19
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/crud.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, 0, 0, 0, 0, -32, -31, -234
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -97, 0, 0, 0, 0, 0, -6, -103
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/beneficiary.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -94, 0, 0, 0, 0, 0, -5, -99
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/box.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -93, 0, 0, 0, 0, -6, -5, -104
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/box_state.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -5, -11
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/history.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, -5, -28
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/language.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, -5, -18
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/location.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, 0, -5, -57
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/log.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -5, -14
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/organisation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, -5, -30
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, -5, -68
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product_category.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -5, -20
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/product_gender.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -5, -39
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/qr_code.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -6, -18
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/shipment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, -4, -40
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/shipment_detail.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, -4, -28
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/size.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, -5, -40
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/size_range.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -5, -12
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transaction.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, -3, -5, -44
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transfer_agreement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, -4, -48
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/transfer_agreement_detail.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -3, -13
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, -5, -45
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/x_beneficiary_language.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, -4, -28
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/fields.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, -33, -12, -61
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/metrics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, 0, -26, -18, -157
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -3, -10
"/Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/routes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, -9, -22, -100
"/Users/danielspaude/code/boxtribute/boxtribute/back/gunicorn.conf.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -4, -1, -9
"/Users/danielspaude/code/boxtribute/boxtribute/back/init.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1180, -282, -188, -1650
"/Users/danielspaude/code/boxtribute/boxtribute/back/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, -1, -11
"/Users/danielspaude/code/boxtribute/boxtribute/back/scripts/list_models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, -8, -10, -45
"/Users/danielspaude/code/boxtribute/boxtribute/back/scripts/load-test.js", "JavaScript", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -43, -10, -90
"/Users/danielspaude/code/boxtribute/boxtribute/back/setup.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -6, -31
"/Users/danielspaude/code/boxtribute/boxtribute/back/setup.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -1, -3, -18
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, 0, -17, -16, -107
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/test_auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -9, -24
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/test_authz.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -82, 0, 0, 0, 0, 0, -17, -99
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, 0, -47, -22, -137
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/data/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -152, 0, 0, 0, 0, -14, -14, -180
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/data/base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, -9, -51
